"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"1","1984","14","Chhattisgarh","Durg","56.4","13.9","0.0","28.5","39.7","227.0","289.1","344.0","31.1","72.5","0.0","0.0","1102.2"
"1","1985","14","Chhattisgarh","Durg","9.3","4.0","0.0","0.0","2.0","117.2","265.6","288.7","269.2","38.9","0.0","0.0","994.8"
"1","1986","14","Chhattisgarh","Durg","31.0","28.7","13.3","6.6","0.0","425.5","235.0","260.3","58.5","12.9","29.9","11.1","1112.7"
"1","1987","14","Chhattisgarh","Durg","5.5","1.3","3.8","0.0","1.8","24.4","370.0","135.7","98.5","65.8","31.9","4.0","742.6"
"1","1988","14","Chhattisgarh","Durg","0.0","5.8","0.0","2.0","0.0","175.6","129.4","163.1","164.0","10.1","0.0","0.0","650.1"
"1","1989","14","Chhattisgarh","Durg","0.0","0.0","1.0","0.0","5.2","201.5","-1.0","-1.0","-1.0","0.0","0.0","0.0","-1.0"
"1","1990","14","Chhattisgarh","Durg","0.0","11.6","0.0","0.0","129.4","305.8","174.9","251.1","305.5","131.4","0.0","0.0","1309.7"
"1","1991","14","Chhattisgarh","Durg","0.0","0.0","18.4","0.0","0.0","156.4","260.5","260.1","41.5","23.0","0.0","5.0","764.9"
"1","1992","14","Chhattisgarh","Durg","0.0","0.0","5.0","0.0","0.0","65.2","401.9","361.7","-1.0","-1.0","-1.0","0.0","923.2"
"1","1993","14","Chhattisgarh","Durg","0.0","1.0","11.0","0.0","0.0","203.9","275.5","172.5","127.0","97.3","-1.0","-1.0","887.7"
"1","1994","14","Chhattisgarh","Durg","0.0","1.0","0.0","0.0","3.0","214.1","536.4","361.5","273.0","73.9","0.0","0.0","1462.9"
"1","1995","14","Chhattisgarh","Durg","0.0","24.8","0.0","0.0","0.0","66.7","592.8","365.0","169.1","132.2","0.0","0.0","1350.6"
"1","1996","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","72.5","333.8","563.0","232.5","87.9","0.0","0.0","1289.7"
"1","1997","14","Chhattisgarh","Durg","2.0","0.0","0.0","46.0","0.0","244.7","643.0","420.4","121.5","15.5","13.0","80.6","1586.7"
"1","1998","14","Chhattisgarh","Durg","50.0","10.0","25.5","0.0","26.0","237.5","263.5","198.5","366.0","52.0","84.5","0.0","1313.5"
"1","1999","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","31.8","284.0","326.1","547.4","434.2","142.5","0.0","0.0","1766.0"
"1","2002","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","183.6","107.0","328.7","113.1","50.0","-1.0","-1.0","-1.0"
"1","2004","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","291.8","306.4","300.5","85.9","13.3","0.0","0.0","997.9"
"1","2005","14","Chhattisgarh","Durg","3.5","6.2","29.3","98.2","326.0","236.4","353.5","48.2","0.0","2.6","0.0","0.0","1103.9"
"1","2006","14","Chhattisgarh","Durg","0.0","0.0","26.8","18.2","44.8","27.4","251.7","392.6","120.5","4.4","0.0","0.0","886.4"
"1","2007","14","Chhattisgarh","Durg","0.0","5.8","1.8","0.0","0.0","229.6","298.4","328.8","202.1","2.0","0.0","0.0","1068.5"
"1","2008","14","Chhattisgarh","Durg","0.0","0.0","6.8","0.0","0.0","240.0","138.3","287.9","231.8","0.0","0.0","0.0","904.8"
"1","2009","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","21.5","405.2","213.0","51.8","4.2","0.0","0.0","695.7"
"1","2010","14","Chhattisgarh","Durg","6.2","0.0","0.0","0.0","7.7","146.4","391.3","276.6","279.8","11.1","18.2","12.4","1149.7"
"1","2011","14","Chhattisgarh","Durg","0.0","6.0","0.0","54.1","27.7","251.5","319.7","350.5","251.1","21.7","0.0","0.0","1282.3"
"1","2012","14","Chhattisgarh","Durg","41.2","0.0","0.0","26.4","0.0","119.1","348.9","342.6","198.7","5.0","9.0","1.2","1092.1"
"1","2013","14","Chhattisgarh","Durg","0.5","13.1","1.9","13.7","1.6","262.3","586.9","328.1","182.8","177.1","0.0","0.0","1568.0"
"1","2014","14","Chhattisgarh","Durg","0.0","46.6","27.6","10.4","57.4","96.9","501.6","279.2","255.7","104.3","0.0","0.0","1379.7"
"1","2015","14","Chhattisgarh","Durg","14.6","0.0","39.6","58.2","7.8","201.8","186.4","250.7","249.3","0.3","0.0","0.0","1008.7"
"2","1966","14","Chhattisgarh","Bastar","44.5","0.0","11.3","41.2","26.0","237.7","277.1","243.3","266.3","19.6","15.6","27.4","1210.0"
"2","1967","14","Chhattisgarh","Bastar","0.3","0.0","118.8","34.7","20.3","279.0","305.5","462.7","163.0","14.2","0.1","79.7","1478.1"
"2","1968","14","Chhattisgarh","Bastar","11.6","26.6","67.3","73.3","22.2","186.4","313.3","112.6","361.6","144.6","6.3","4.7","1330.5"
"2","1969","14","Chhattisgarh","Bastar","4.4","0.0","3.6","37.3","64.5","208.4","495.8","267.2","308.0","60.0","15.6","73.2","1538.1"
"2","1970","14","Chhattisgarh","Bastar","4.9","4.2","62.4","121.8","42.0","288.7","304.7","571.3","241.3","18.6","0.0","0.0","1659.9"
"2","1971","14","Chhattisgarh","Bastar","7.5","38.3","6.7","80.6","143.6","249.9","174.0","353.0","128.1","76.5","41.8","0.0","1299.9"
"2","1972","14","Chhattisgarh","Bastar","0.0","8.4","0.0","2.9","13.0","213.7","401.4","292.7","302.6","33.2","35.4","0.0","1303.5"
"2","1973","14","Chhattisgarh","Bastar","0.0","0.0","3.1","13.2","8.1","128.7","525.8","303.8","90.8","214.0","0.2","0.0","1287.8"
"2","1974","14","Chhattisgarh","Bastar","0.0","0.0","1.0","9.1","28.8","246.1","181.7","289.1","99.0","60.7","17.6","0.0","933.1"
"2","1975","14","Chhattisgarh","Bastar","7.6","6.5","1.3","19.7","29.9","294.9","370.8","450.4","415.1","231.5","1.7","0.0","1829.2"
"2","1976","14","Chhattisgarh","Bastar","0.0","0.0","3.1","30.8","62.6","136.8","649.6","424.3","157.2","3.6","20.5","1.7","1490.2"
"2","1977","14","Chhattisgarh","Bastar","0.0","0.6","4.5","79.6","53.2","183.7","570.0","491.1","238.9","37.1","107.8","12.1","1778.4"
"2","1978","14","Chhattisgarh","Bastar","11.8","24.4","9.6","35.7","33.3","265.7","414.1","674.8","213.0","50.6","34.7","0.3","1768.1"
"2","1979","14","Chhattisgarh","Bastar","0.5","14.2","0.0","20.7","22.7","297.8","252.5","289.3","287.4","67.7","3.9","23.6","1280.4"
"2","1980","14","Chhattisgarh","Bastar","4.0","1.3","4.0","19.3","22.9","376.1","463.4","357.0","384.1","21.9","0.1","2.6","1656.7"
"2","1981","14","Chhattisgarh","Bastar","15.7","1.2","31.6","27.8","37.2","165.6","315.8","548.5","253.6","18.6","2.0","0.0","1417.6"
"2","1982","14","Chhattisgarh","Bastar","0.1","3.0","8.9","25.3","30.1","185.8","379.3","570.1","202.3","45.8","24.1","4.5","1479.2"
"2","1983","14","Chhattisgarh","Bastar","1.4","17.4","3.5","3.5","27.7","275.5","348.9","427.4","333.6","90.7","2.7","6.6","1538.9"
"2","1984","14","Chhattisgarh","Bastar","12.7","0.0","0.0","56.6","19.5","228.2","224.8","324.7","101.7","50.3","0.0","0.0","1018.6"
"2","1985","14","Chhattisgarh","Bastar","11.9","2.0","3.0","19.1","29.7","247.9","328.6","387.2","221.2","138.8","0.0","0.3","1389.7"
"2","1986","14","Chhattisgarh","Bastar","42.6","41.9","2.2","51.1","10.8","354.6","383.7","521.8","128.5","107.3","59.7","7.5","1711.6"
"2","1987","14","Chhattisgarh","Bastar","5.9","0.2","15.6","9.8","49.5","137.4","506.5","390.1","162.8","143.0","26.8","1.0","1448.5"
"2","1988","14","Chhattisgarh","Bastar","0.0","7.1","1.2","41.4","33.6","227.5","490.6","341.1","219.6","52.7","4.2","1.0","1419.9"
"2","1989","14","Chhattisgarh","Bastar","0.0","0.0","34.0","9.6","51.0","198.9","581.8","694.3","259.1","18.6","1.1","4.4","1852.9"
"2","1990","14","Chhattisgarh","Bastar","0.4","12.4","9.3","0.0","148.4","277.7","394.1","585.9","217.2","168.4","10.5","0.0","1824.3"
"2","1991","14","Chhattisgarh","Bastar","0.0","0.0","2.3","0.0","10.6","161.0","475.7","335.3","128.5","68.9","21.7","0.8","1204.8"
"2","1992","14","Chhattisgarh","Bastar","0.7","0.0","0.0","0.0","10.0","199.6","434.0","522.2","-1.0","-1.0","-1.0","0.0","1378.4"
"2","1993","14","Chhattisgarh","Bastar","0.0","1.1","7.0","0.0","0.0","159.5","391.6","271.9","254.6","56.8","-1.0","-1.0","1157.1"
"2","1994","14","Chhattisgarh","Bastar","0.0","1.0","0.0","9.3","3.4","241.4","685.2","510.0","246.1","41.7","1.1","0.0","1739.2"
"2","1995","14","Chhattisgarh","Bastar","59.4","0.0","7.7","1.6","63.8","157.3","562.6","341.7","146.1","132.3","0.3","0.0","1472.8"
"2","1996","14","Chhattisgarh","Bastar","0.6","0.0","0.0","0.0","0.0","203.6","348.0","412.1","194.8","22.2","0.2","0.0","1181.5"
"2","1997","14","Chhattisgarh","Bastar","5.2","0.0","5.5","76.2","6.4","94.9","412.9","411.2","173.2","22.4","11.8","15.9","1235.6"
"2","1998","14","Chhattisgarh","Bastar","0.0","9.4","0.0","10.9","32.6","109.1","323.1","236.2","136.7","79.3","52.8","0.0","990.1"
"2","1999","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","60.6","236.6","223.2","536.9","259.9","112.5","0.0","0.0","1429.7"
"2","2002","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","159.9","222.0","377.3","133.9","31.6","-1.0","-1.0","-1.0"
"2","2004","14","Chhattisgarh","Bastar","55.5","11.5","1.7","33.9","52.2","331.7","389.7","322.4","322.5","120.3","2.8","0.0","1644.2"
"2","2005","14","Chhattisgarh","Bastar","21.8","21.6","3.6","25.9","89.2","165.2","261.7","252.9","344.8","229.2","3.2","0.0","1419.1"
"2","2006","14","Chhattisgarh","Bastar","0.0","0.0","43.7","132.0","90.0","127.3","491.0","422.0","309.3","1.6","92.9","0.0","1709.8"
"2","2007","14","Chhattisgarh","Bastar","0.0","15.3","0.0","13.5","68.6","337.0","195.9","377.4","157.7","93.8","0.0","0.0","1259.2"
"2","2008","14","Chhattisgarh","Bastar","10.0","18.2","135.5","17.7","40.3","183.9","360.2","380.5","239.5","11.8","0.7","0.0","1398.3"
"2","2009","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","41.9","87.6","446.9","315.5","113.0","26.0","0.0","0.0","1030.9"
"2","2010","14","Chhattisgarh","Bastar","6.1","3.1","10.1","36.0","38.2","133.1","422.7","436.8","320.1","151.5","35.4","30.1","1623.2"
"2","2011","14","Chhattisgarh","Bastar","0.0","29.1","0.0","50.4","86.4","120.4","241.5","292.3","328.3","12.0","0.0","0.1","1160.5"
"2","2012","14","Chhattisgarh","Bastar","31.1","0.0","1.2","68.5","44.3","123.5","406.8","451.0","366.8","29.6","19.8","0.0","1542.6"
"2","2013","14","Chhattisgarh","Bastar","0.0","14.9","0.0","90.7","32.3","433.6","294.9","236.0","147.8","180.6","3.7","0.0","1434.5"
"2","2014","14","Chhattisgarh","Bastar","0.0","0.0","30.9","43.9","62.4","129.3","388.8","340.2","379.4","100.7","1.0","0.0","1476.6"
"2","2015","14","Chhattisgarh","Bastar","2.4","2.6","26.2","73.8","49.5","411.9","149.8","406.8","381.7","22.7","0.2","10.9","1538.5"
"3","1966","14","Chhattisgarh","Raipur","8.4","0.1","2.0","11.6","17.1","269.2","270.2","187.8","106.7","17.4","24.5","26.5","941.5"
"3","1967","14","Chhattisgarh","Raipur","0.2","0.0","109.1","10.8","15.1","227.1","303.5","515.7","198.0","2.3","0.0","27.7","1409.5"
"3","1968","14","Chhattisgarh","Raipur","10.1","24.9","10.7","11.2","1.1","169.6","402.5","196.0","200.8","50.0","0.0","0.4","1077.4"
"3","1969","14","Chhattisgarh","Raipur","0.2","0.0","0.0","10.1","25.8","164.3","327.8","236.7","158.1","12.7","0.2","1.3","937.1"
"3","1970","14","Chhattisgarh","Raipur","2.1","0.1","48.3","2.5","5.4","331.5","630.2","495.6","179.6","11.8","0.0","0.0","1707.2"
"3","1971","14","Chhattisgarh","Raipur","16.2","15.4","17.8","55.5","90.8","397.6","262.4","273.2","95.6","120.6","0.0","0.0","1344.9"
"3","1972","14","Chhattisgarh","Raipur","0.0","1.8","0.0","16.2","4.0","153.2","228.3","402.8","219.0","24.9","23.0","0.1","1073.3"
"3","1973","14","Chhattisgarh","Raipur","0.0","2.5","3.9","2.6","3.9","77.0","460.6","379.4","295.1","194.9","0.6","0.0","1420.5"
"3","1974","14","Chhattisgarh","Raipur","0.0","24.7","2.7","0.0","5.7","100.0","162.2","358.7","47.5","48.7","19.5","0.0","769.7"
"3","1975","14","Chhattisgarh","Raipur","3.2","6.2","12.3","0.3","1.1","159.7","398.3","307.1","218.4","81.0","0.0","0.0","1187.6"
"3","1976","14","Chhattisgarh","Raipur","0.0","4.4","0.4","5.7","6.0","65.2","400.6","463.1","173.2","0.5","0.7","0.0","1119.9"
"3","1977","14","Chhattisgarh","Raipur","0.0","0.6","0.4","15.4","48.6","123.5","318.4","371.1","261.5","7.0","21.1","0.0","1167.6"
"3","1978","14","Chhattisgarh","Raipur","1.9","9.5","11.1","5.0","3.1","161.6","326.1","420.3","93.4","7.9","2.8","13.0","1055.7"
"3","1979","14","Chhattisgarh","Raipur","21.4","32.2","0.5","1.4","4.5","148.7","208.1","221.0","75.6","23.4","14.5","1.9","753.0"
"3","1980","14","Chhattisgarh","Raipur","0.9","0.4","1.8","8.2","4.7","242.6","419.7","198.7","540.0","18.2","0.0","2.2","1437.5"
"3","1981","14","Chhattisgarh","Raipur","28.4","2.3","32.5","1.4","16.9","94.2","273.4","418.9","249.1","22.4","0.0","0.0","1139.5"
"3","1982","14","Chhattisgarh","Raipur","21.5","36.4","44.1","6.5","47.2","85.3","119.1","493.5","49.5","54.9","8.2","0.0","966.2"
"3","1983","14","Chhattisgarh","Raipur","0.0","25.2","0.1","15.7","42.1","76.7","244.8","326.7","269.0","38.1","0.0","7.5","1045.8"
"3","1984","14","Chhattisgarh","Raipur","20.0","5.6","0.0","14.6","7.4","289.4","311.2","356.3","76.9","45.4","1.7","0.0","1128.5"
"3","1985","14","Chhattisgarh","Raipur","10.0","6.6","0.4","2.0","4.7","138.3","351.6","307.6","260.6","28.5","0.0","0.0","1110.3"
"3","1986","14","Chhattisgarh","Raipur","8.4","16.6","2.9","15.1","3.2","455.3","318.9","260.8","65.2","32.1","29.0","18.7","1226.1"
"3","1987","14","Chhattisgarh","Raipur","5.6","1.7","4.7","1.4","17.2","57.5","380.6","170.7","121.0","69.0","61.2","10.0","900.4"
"3","1988","14","Chhattisgarh","Raipur","0.0","18.4","12.2","15.4","2.8","175.2","172.7","207.0","151.9","9.9","0.3","0.0","765.8"
"3","1989","14","Chhattisgarh","Raipur","0.0","0.0","8.8","0.3","6.7","280.6","310.0","301.8","174.6","6.1","0.0","29.0","1118.0"
"3","1990","14","Chhattisgarh","Raipur","0.0","18.3","1.6","0.0","116.8","231.9","255.7","296.3","380.5","224.1","14.7","1.4","1541.3"
"3","1991","14","Chhattisgarh","Raipur","7.4","0.0","8.7","-1.0","6.6","167.5","344.5","395.5","47.0","28.1","0.9","1.0","1007.2"
"3","1992","14","Chhattisgarh","Raipur","0.0","0.0","0.0","0.0","10.4","127.0","403.5","392.5","-1.0","-1.0","-1.0","0.0","1056.4"
"3","1993","14","Chhattisgarh","Raipur","0.0","2.7","3.7","0.0","0.0","136.2","381.0","314.2","202.9","58.5","-1.0","-1.0","1106.6"
"3","1994","14","Chhattisgarh","Raipur","0.0","2.7","0.0","0.0","56.8","351.6","556.5","409.5","235.8","150.4","0.9","0.0","1764.2"
"3","1995","14","Chhattisgarh","Raipur","17.7","2.5","21.0","3.9","36.2","115.6","458.0","241.4","122.6","27.8","1.2","0.0","1047.9"
"3","1996","14","Chhattisgarh","Raipur","1.4","0.0","0.2","0.8","0.5","58.0","246.4","443.0","123.1","93.3","0.0","0.0","966.7"
"3","1997","14","Chhattisgarh","Raipur","1.0","0.0","1.7","60.8","0.0","114.9","343.9","429.1","123.3","22.0","11.6","53.6","1161.9"
"3","1998","14","Chhattisgarh","Raipur","12.7","8.8","14.8","8.4","12.8","173.6","180.8","144.4","164.9","52.0","55.9","0.0","829.1"
"3","1999","14","Chhattisgarh","Raipur","0.0","2.8","0.0","0.0","23.7","169.1","190.1","371.1","182.9","27.8","0.0","0.0","967.5"
"3","2002","14","Chhattisgarh","Raipur","-1.0","-1.0","-1.0","-1.0","-1.0","167.5","89.8","300.0","154.1","14.2","-1.0","-1.0","-1.0"
"3","2004","14","Chhattisgarh","Raipur","36.7","32.4","10.9","11.7","24.0","217.3","341.5","143.0","86.6","35.1","0.0","0.0","939.2"
"3","2005","14","Chhattisgarh","Raipur","68.6","25.0","0.9","2.4","25.9","155.9","493.5","255.3","229.3","91.2","0.0","0.0","1348.0"
"3","2006","14","Chhattisgarh","Raipur","0.0","0.0","35.6","31.2","72.0","59.6","384.5","430.5","177.5","14.4","1.4","0.0","1206.7"
"3","2007","14","Chhattisgarh","Raipur","0.0","19.5","0.2","0.2","4.1","525.2","320.1","284.6","238.0","28.3","14.0","0.0","1434.2"
"3","2008","14","Chhattisgarh","Raipur","6.5","10.1","2.6","1.0","5.8","262.8","233.1","279.5","289.7","23.4","0.0","0.0","1114.5"
"3","2009","14","Chhattisgarh","Raipur","0.0","0.0","0.0","2.1","4.9","25.8","571.8","246.4","66.4","20.1","0.0","0.0","937.5"
"3","2010","14","Chhattisgarh","Raipur","3.4","1.0","0.0","1.7","5.0","53.8","462.4","225.0","273.8","47.7","23.3","12.0","1109.1"
"3","2011","14","Chhattisgarh","Raipur","0.0","3.7","0.3","116.6","8.6","197.7","293.4","363.8","334.6","4.1","0.1","0.0","1322.9"
"3","2012","14","Chhattisgarh","Raipur","54.2","0.0","0.0","20.0","0.9","152.2","397.3","387.8","185.5","21.1","13.7","0.3","1233.0"
"3","2013","14","Chhattisgarh","Raipur","0.2","8.5","3.5","28.6","2.7","315.6","436.8","321.1","188.6","138.0","0.0","0.0","1443.6"
"3","2014","14","Chhattisgarh","Raipur","0.0","53.2","18.2","16.4","15.6","121.7","454.2","254.3","251.7","47.9","0.0","0.0","1233.2"
"3","2015","14","Chhattisgarh","Raipur","14.5","0.2","19.6","33.6","16.8","209.8","198.7","210.3","213.6","1.9","0.0","2.4","921.4"
"4","1966","14","Chhattisgarh","Bilaspur","16.4","0.0","2.6","5.2","13.4","279.0","314.3","269.9","47.8","9.0","23.5","21.5","1002.5"
"4","1967","14","Chhattisgarh","Bilaspur","1.1","0.0","107.4","14.2","15.9","150.6","461.0","477.6","161.9","4.1","1.9","107.9","1503.5"
"4","1968","14","Chhattisgarh","Bilaspur","31.7","19.2","4.4","0.7","1.9","158.4","413.5","418.9","171.8","30.0","0.0","0.3","1250.7"
"4","1969","14","Chhattisgarh","Bilaspur","1.6","0.0","0.1","10.6","25.1","90.6","280.2","365.3","260.7","4.0","0.1","0.0","1038.3"
"4","1970","14","Chhattisgarh","Bilaspur","18.9","14.0","45.5","5.8","12.1","254.9","372.0","402.4","176.4","3.3","0.0","0.0","1305.2"
"4","1971","14","Chhattisgarh","Bilaspur","26.7","32.5","22.8","56.4","142.6","261.4","483.8","362.2","88.5","90.7","0.0","0.0","1567.6"
"4","1972","14","Chhattisgarh","Bilaspur","0.1","23.2","3.3","20.1","0.4","87.8","246.4","432.1","229.8","52.2","33.8","2.1","1131.2"
"4","1973","14","Chhattisgarh","Bilaspur","5.3","16.3","6.4","1.4","1.2","52.5","332.3","427.5","345.4","164.3","0.0","0.0","1352.6"
"4","1974","14","Chhattisgarh","Bilaspur","0.0","1.6","7.4","0.0","8.2","78.2","303.6","422.4","82.4","121.5","2.6","0.0","1027.9"
"4","1975","14","Chhattisgarh","Bilaspur","8.0","13.5","38.3","0.0","7.5","148.8","497.1","470.7","188.3","137.9","0.0","0.0","1510.0"
"4","1976","14","Chhattisgarh","Bilaspur","1.5","8.7","3.0","29.8","11.7","82.9","324.1","477.6","137.3","7.3","17.9","0.0","1101.8"
"4","1977","14","Chhattisgarh","Bilaspur","2.0","4.6","14.9","44.0","27.1","234.3","310.0","349.5","210.1","29.5","68.3","5.7","1300.0"
"4","1978","14","Chhattisgarh","Bilaspur","3.9","28.2","39.8","26.0","1.2","169.1","450.3","280.2","200.7","14.1","33.0","48.3","1294.9"
"4","1979","14","Chhattisgarh","Bilaspur","57.4","35.2","0.6","9.1","1.6","124.4","202.3","219.1","104.2","17.6","23.2","1.1","795.9"
"4","1980","14","Chhattisgarh","Bilaspur","16.5","1.5","19.1","3.5","4.1","301.2","445.3","232.8","334.6","32.4","0.0","9.4","1400.3"
"4","1981","14","Chhattisgarh","Bilaspur","14.6","0.6","25.7","3.0","7.6","105.5","350.6","316.7","247.8","19.4","3.0","9.7","1104.2"
"4","1982","14","Chhattisgarh","Bilaspur","64.4","36.5","38.7","11.8","40.6","86.6","157.8","357.3","136.2","94.9","6.6","0.0","1031.5"
"4","1983","14","Chhattisgarh","Bilaspur","0.1","33.7","0.7","22.5","34.2","105.7","281.4","414.9","307.3","41.1","3.7","8.8","1254.1"
"4","1984","14","Chhattisgarh","Bilaspur","54.6","26.5","0.7","63.0","16.7","264.7","358.9","399.6","64.4","25.9","0.0","0.0","1275.0"
"4","1985","14","Chhattisgarh","Bilaspur","92.5","23.0","0.6","9.1","17.9","79.8","414.4","303.2","172.3","23.7","0.0","0.0","1136.4"
"4","1986","14","Chhattisgarh","Bilaspur","9.9","107.1","11.0","11.6","14.4","262.2","439.8","223.8","98.3","55.9","15.2","30.5","1279.8"
"4","1987","14","Chhattisgarh","Bilaspur","16.7","26.4","17.1","0.1","37.8","72.3","407.5","173.5","249.0","76.5","10.8","0.0","1087.8"
"4","1988","14","Chhattisgarh","Bilaspur","2.3","34.7","6.3","4.4","2.4","418.3","305.0","357.4","133.1","19.5","0.0","0.0","1283.3"
"4","1989","14","Chhattisgarh","Bilaspur","0.0","0.0","8.5","0.0","0.1","240.3","196.7","267.5","154.3","8.1","1.6","35.5","912.6"
"4","1990","14","Chhattisgarh","Bilaspur","0.0","12.0","0.4","0.0","43.4","281.5","364.9","227.3","295.8","90.7","0.0","1.1","1317.1"
"4","1991","14","Chhattisgarh","Bilaspur","3.6","2.3","8.7","-1.0","3.6","89.2","380.2","351.8","87.0","17.1","1.1","0.8","940.1"
"4","1992","14","Chhattisgarh","Bilaspur","0.0","0.0","1.9","0.0","16.4","92.0","327.1","319.2","-1.0","-1.0","-1.0","0.0","973.6"
"4","1993","14","Chhattisgarh","Bilaspur","0.0","3.0","0.0","0.0","0.0","143.3","335.5","304.1","228.7","11.0","-1.0","-1.0","1033.2"
"4","1994","14","Chhattisgarh","Bilaspur","0.0","3.0","0.0","0.0","0.0","507.4","575.3","361.9","141.0","79.6","0.0","0.0","1668.2"
"4","1995","14","Chhattisgarh","Bilaspur","30.6","0.0","0.0","2.5","2.1","123.4","380.7","360.6","113.4","44.0","17.3","12.7","1087.3"
"4","1996","14","Chhattisgarh","Bilaspur","30.5","3.6","0.0","0.0","0.0","149.0","429.2","470.4","146.2","20.9","0.0","0.0","1249.8"
"4","1997","14","Chhattisgarh","Bilaspur","2.5","0.0","0.0","32.3","0.0","151.0","303.2","387.1","231.5","27.1","100.4","91.7","1326.8"
"4","1998","14","Chhattisgarh","Bilaspur","94.7","6.8","40.5","10.6","21.3","143.8","268.1","214.3","380.8","90.9","52.3","0.0","1324.1"
"4","1999","14","Chhattisgarh","Bilaspur","0.0","5.5","0.0","0.0","23.9","192.6","232.2","368.8","204.0","82.7","0.0","0.0","1109.7"
"4","2002","14","Chhattisgarh","Bilaspur","-1.0","-1.0","-1.0","-1.0","-1.0","110.4","96.3","350.9","290.0","13.5","-1.0","-1.0","-1.0"
